	Strata	SO	Month	Area	Abundance	Richness	Shannon	Simpson	Mean_day	SD_day	Mean_night	SD_night	Mean_dayU	SD_dayU	Mean_nightU	SD_nightU
CanopyMN1m2	Canopy	m2	March	MN1	22	1	0.00	1.00	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN2m2	Canopy	m2	March	MN2	6	4	1.24	3.00	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN3m2	Canopy	m2	March	MN3	2	2	0.69	2.00	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN4m2	Canopy	m2	March	MN4	3	2	0.64	1.80	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN5m2	Canopy	m2	March	MN5	2	2	0.69	2.00	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN6m2	Canopy	m2	March	MN6	1	1	0.00	1.00	21.41	4.97	16.22	3.35	80.08	18.57	97.02	3.93
CanopyMN1n1	Canopy	n1	November	MN1	6	5	1.56	4.50	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN2n1	Canopy	n1	November	MN2	13	4	0.94	1.94	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN3n1	Canopy	n1	November	MN3	5	5	1.61	5.00	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN4n1	Canopy	n1	November	MN4	8	6	1.73	5.33	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN5n1	Canopy	n1	November	MN5	4	2	0.56	1.60	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN6n1	Canopy	n1	November	MN6	7	6	1.75	5.44	NA	NA	NA	NA	NA	NA	NA	NA
CanopyMN1n2	Canopy	n2	November	MN1	12	6	1.47	3.27	19.42	4.68	12.94	4.00	74.14	21.70	92.56	12.11
CanopyMN2n2	Canopy	n2	November	MN2	7	1	0.00	1.00	19.42	4.68	12.94	4.00	74.14	21.70	92.56	12.11
CanopyMN3n2	Canopy	n2	November	MN3	6	3	0.87	2.00	19.42	4.68	12.94	4.00	74.14	21.70	92.56	12.11
CanopyMN4n2	Canopy	n2	November	MN4	3	3	1.10	3.00	19.42	4.68	12.94	4.00	74.14	21.70	92.56	12.11
CanopyMN5n2	Canopy	n2	November	MN5	4	4	1.39	4.00	19.42	4.68	12.94	4.00	74.14	21.70	92.56	12.11
